hdbscan,umap,nb_topics,entropy,u_mass,diversity,nb_outliers,distance,model
6_2,10_5,5,1.49363746714273,-0.3484552157735251,1.0,7,0.5943700252120742,"BERTopic(calculate_probabilities=True, ctfidf_model=ClassTfidfTransformer(...), embedding_model=<bertopic.backend._sentencetransformers.SentenceTransformerBackend object at 0x7e438c9847d0>, hdbscan_model=HDBSCAN(...), language=None, low_memory=False, min_topic_size=10, n_gram_range=(1, 1), nr_topics=None, representation_model=None, seed_topic_list=None, top_n_words=10, umap_model=<bertopic.dimensionality._base.BaseDimensionalityReduction object at 0x7e4372a1b980>, vectorizer_model=CountVectorizer(...), verbose=False, zeroshot_min_similarity=0.7, zeroshot_topic_list=None)"
8_2,10_5,4,1.3354612454672177,-0.3994999838038195,1.0,6,1.0287200039541267,"BERTopic(calculate_probabilities=True, ctfidf_model=ClassTfidfTransformer(...), embedding_model=<bertopic.backend._sentencetransformers.SentenceTransformerBackend object at 0x7e4372afc230>, hdbscan_model=HDBSCAN(...), language=None, low_memory=False, min_topic_size=10, n_gram_range=(1, 1), nr_topics=None, representation_model=None, seed_topic_list=None, top_n_words=10, umap_model=<bertopic.dimensionality._base.BaseDimensionalityReduction object at 0x7e438c9845f0>, vectorizer_model=CountVectorizer(...), verbose=False, zeroshot_min_similarity=0.7, zeroshot_topic_list=None)"
6_2,5_3,4,1.328930026147667,-0.40708057238899625,1.0,5,1.048785014144143,"BERTopic(calculate_probabilities=True, ctfidf_model=ClassTfidfTransformer(...), embedding_model=<bertopic.backend._sentencetransformers.SentenceTransformerBackend object at 0x7e4372b78cd0>, hdbscan_model=HDBSCAN(...), language=None, low_memory=False, min_topic_size=10, n_gram_range=(1, 1), nr_topics=None, representation_model=None, seed_topic_list=None, top_n_words=10, umap_model=<bertopic.dimensionality._base.BaseDimensionalityReduction object at 0x7e43802fe490>, vectorizer_model=CountVectorizer(...), verbose=False, zeroshot_min_similarity=0.7, zeroshot_topic_list=None)"
8_2,5_3,4,1.328930026147667,-0.40708057238899625,1.0,5,1.048785014144143,"BERTopic(calculate_probabilities=True, ctfidf_model=ClassTfidfTransformer(...), embedding_model=<bertopic.backend._sentencetransformers.SentenceTransformerBackend object at 0x7e4372b7a5d0>, hdbscan_model=HDBSCAN(...), language=None, low_memory=False, min_topic_size=10, n_gram_range=(1, 1), nr_topics=None, representation_model=None, seed_topic_list=None, top_n_words=10, umap_model=<bertopic.dimensionality._base.BaseDimensionalityReduction object at 0x7e4372b7a210>, vectorizer_model=CountVectorizer(...), verbose=False, zeroshot_min_similarity=0.7, zeroshot_topic_list=None)"
4_2,10_5,6,1.5980669005572194,-0.478107899225467,1.0,9,1.0536263518756996,"BERTopic(calculate_probabilities=True, ctfidf_model=ClassTfidfTransformer(...), embedding_model=<bertopic.backend._sentencetransformers.SentenceTransformerBackend object at 0x7e4372f6a350>, hdbscan_model=HDBSCAN(...), language=None, low_memory=False, min_topic_size=10, n_gram_range=(1, 1), nr_topics=None, representation_model=None, seed_topic_list=None, top_n_words=10, umap_model=<bertopic.dimensionality._base.BaseDimensionalityReduction object at 0x7e4372f6b550>, vectorizer_model=CountVectorizer(...), verbose=False, zeroshot_min_similarity=0.7, zeroshot_topic_list=None)"
8_2,10_3,4,1.3239540918114086,-0.41047781234155656,1.0,6,1.0829309192381817,"BERTopic(calculate_probabilities=True, ctfidf_model=ClassTfidfTransformer(...), embedding_model=<bertopic.backend._sentencetransformers.SentenceTransformerBackend object at 0x7e4372f69c50>, hdbscan_model=HDBSCAN(...), language=None, low_memory=False, min_topic_size=10, n_gram_range=(1, 1), nr_topics=None, representation_model=None, seed_topic_list=None, top_n_words=10, umap_model=<bertopic.dimensionality._base.BaseDimensionalityReduction object at 0x7e4372f6bb50>, vectorizer_model=CountVectorizer(...), verbose=False, zeroshot_min_similarity=0.7, zeroshot_topic_list=None)"
6_2,10_3,4,1.3239540918114086,-0.41047781234155656,1.0,6,1.0829309192381817,"BERTopic(calculate_probabilities=True, ctfidf_model=ClassTfidfTransformer(...), embedding_model=<bertopic.backend._sentencetransformers.SentenceTransformerBackend object at 0x7e4372f25ae0>, hdbscan_model=HDBSCAN(...), language=None, low_memory=False, min_topic_size=10, n_gram_range=(1, 1), nr_topics=None, representation_model=None, seed_topic_list=None, top_n_words=10, umap_model=<bertopic.dimensionality._base.BaseDimensionalityReduction object at 0x7e4372f258c0>, vectorizer_model=CountVectorizer(...), verbose=False, zeroshot_min_similarity=0.7, zeroshot_topic_list=None)"
4_2,5_3,5,1.419644821416039,-0.4258725037798972,1.0,10,1.1956137190367742,"BERTopic(calculate_probabilities=True, ctfidf_model=ClassTfidfTransformer(...), embedding_model=<bertopic.backend._sentencetransformers.SentenceTransformerBackend object at 0x7e4372bb0440>, hdbscan_model=HDBSCAN(...), language=None, low_memory=False, min_topic_size=10, n_gram_range=(1, 1), nr_topics=None, representation_model=None, seed_topic_list=None, top_n_words=10, umap_model=<bertopic.dimensionality._base.BaseDimensionalityReduction object at 0x7e438c825400>, vectorizer_model=CountVectorizer(...), verbose=False, zeroshot_min_similarity=0.7, zeroshot_topic_list=None)"
6_2,5_5,4,1.3274700088000357,-0.4898113214631104,1.0,7,1.3576273444579747,"BERTopic(calculate_probabilities=True, ctfidf_model=ClassTfidfTransformer(...), embedding_model=<bertopic.backend._sentencetransformers.SentenceTransformerBackend object at 0x7e4372938d60>, hdbscan_model=HDBSCAN(...), language=None, low_memory=False, min_topic_size=10, n_gram_range=(1, 1), nr_topics=None, representation_model=None, seed_topic_list=None, top_n_words=10, umap_model=<bertopic.dimensionality._base.BaseDimensionalityReduction object at 0x7e4372938b00>, vectorizer_model=CountVectorizer(...), verbose=False, zeroshot_min_similarity=0.7, zeroshot_topic_list=None)"
8_2,5_5,4,1.3274700088000357,-0.4898113214631104,1.0,7,1.3576273444579747,"BERTopic(calculate_probabilities=True, ctfidf_model=ClassTfidfTransformer(...), embedding_model=<bertopic.backend._sentencetransformers.SentenceTransformerBackend object at 0x7e4380101370>, hdbscan_model=HDBSCAN(...), language=None, low_memory=False, min_topic_size=10, n_gram_range=(1, 1), nr_topics=None, representation_model=None, seed_topic_list=None, top_n_words=10, umap_model=<bertopic.dimensionality._base.BaseDimensionalityReduction object at 0x7e4372825fd0>, vectorizer_model=CountVectorizer(...), verbose=False, zeroshot_min_similarity=0.7, zeroshot_topic_list=None)"
