Document,ID,Topic,topic#0,topic#1,topic#2,topic#3,id,year,cited_by,document_type,title,doi
story simulation narrative collaboratively explore food security agricultural innovation subsaharan africa context food insecurity remain global challenge differ narrative shape intervention subsaharan africa crisis narrative favor aid agency link insecurity production issue advocate agricultural innovation meanwhile chronic poverty narrative reflect african policy tie insecurity farmer poverty emphasize livelihood economic solution narrative subjectivity lead uncritical privileging certain understanding solution necessitate critical exploration contexts cause solution food insecurity region address need understand illustrate complex problem food insecurity region objective study employ mixedmethod approach combine collaborative storytelling exploration scenario analysis investigate food security agricultural innovation climate adaptation mali west africa develop threestage methodology represent story arc begin exposition problem statement development action completion solution provide cohesive narrative framework arc unfold story exposition introduce character plot problem statement story development include participantled simulation modelerle scenario analysis story completion integrate insight simulation scenario analysis develop collective understanding narrative surround food insecurity study generate several insight highlight inherent complexity within agricultural innovation system emerge nonlinear dynamic interaction actor operate across scale contribute food insecurity redirect focus narrative cause subsequent solution food insecurity solely climatedriven production loss poverty complex interplay climate agroecology innovation network risk perception innovation belief desire knowledge transmission share narrative emerge characterize food security complex adaptive system influence factor climateinduced production variability agroecological heterogeneity network structure climate risk perception study underscore methodological value collaborative storytelling simulation enable structured reflective exploration complex system transform participant cocreator knowledge methodology foster system think turn systemic relationship tangible actionable insight significance study demonstrate need critically reevaluate role narrative shape agricultural innovation system capacity transform food system toward enhance sustainability food security participatory systemsdriven approach offer pathway adaptive effective intervention face complex dynamic challenge,0,0,0.8019770958507256,0.09970696675450755,0.0,0.09831593739476681,WOS:001392012500001,2025.0,4,Article,"Stories, simulations and narratives: Collaboratively exploring food   security and agricultural innovation in sub-Saharan Africa",10.1016/j.agsy.2024.104241
analyze industry structure dynamic commodity exchange russia china usa trade restriction context largescale economic sanction russia become urgent task design complex assess impact economy various country end agentbased approach select china united states european union rest world main participant trade relation russia design trade war help analyze available datum economy abovementioned country trade relation assess impose sanction restriction quantitative sectoral aspect information content develop face difficulty cause coordination datum crossindustry supply import export good different country present algorithm determine sequence process initial statistical datum bring unified form detailed elaboration necessary formation array initial datum carry basis federal statistic service russia federal customs service eurostat yous bureau economic analysis national bureau statistic people republic china world bank unify information agency eleven enlarge industry create industry correspond one industry commodity group target apply algorithm construction crosscountry table industry supply intermediate investment good contain datum trade russia usa china rest world course datum processing analyze sectoral structure commodity exchange indicate close relationship economy european union russia largescale sanction relatively low indicator commodity exchange russia united states analysis dynamic trade exchange russia country impose sanction restriction russias import country fall export value term increase primarily due sharp increase energy price united states drop export import russia respectively,1,0,0.0,0.0,1.0,0.0,WOS:001030373500003,2023.0,6,Article,"Analyzing the Industry Structure and Dynamics of Commodity Exchange   between Russia, China, the USA and the EU under Trade Restrictions",10.15838/esc.2023.3.87.3
applicability various level detail occupant behavior representation modeling build performance simulation occupant behavior one significant uncertainty building performance simulation modeling receive increase attention past decade degree granularity level detail lod require represent occupant still nascent stage paper analyze modeling applicability three lod represent occupant build performance assessment mediumsized prototype office building locate chicago illinois simulation case study ten occupantcentric attribute adopt develop lod representation first demonstrate different modeling approach require simulate three fidelity level later illustrate suitability develop lod support six building performance case across different lifecycle stage study intend provide guidance building simulation community appropriate representation support various case,2,1,0.0,1.0,0.0,0.0,WOS:000995960300001,2023.0,9,Article,On the applicability of various levels of detail for occupant behavior   representation and modeling in building performance simulation,10.1007/s12273-023-1034-0
allocate synthetic population fine spatial scale integer quadratic programming formulation agentbased abms increasingly evaluate urban system urban policy environmental impact one prerequisite abm framework consist generate synthetic population representative actual population feature appropriate attribute respect objective precise spatial positioning synthetic population agent often key ensure abm modeling quality paper consider problem allocate synthetic population agent fine spatial scale allocation process perform higherlevel statistical area synthetic population generate container statistical area csa several nested nonoverlapping elementary statistical area esas marginal available allocation step rely common attribute csa esa additional discriminatory attribute attribute interest estimate external datum case study examine herein base french census fiscal datum common attribute include eight sociodemographic variable total modality additional attribute interest income add allocation problem hand integer quadratic programming problem exact algorithm first apply solve problem applicability algorithm prove limit smallsize synthetic population heuristic handle allocation largersize synthetic population test carry case study heuristic yield nearoptimal solution computationally efficient may fulfill need majority,3,0,1.0,0.0,0.0,0.0,WOS:000842128400001,2023.0,3,Article,Allocating synthetic population to a finer spatial scale: An integer   quadratic programming formulation,10.1177/23998083221120019
importance exploration prediction ecosystem service forager fitness foraging constancy repeat return foraging location foraging strategy many specie decrease uncertainty risk often unclear however exactly organism identify foraging interested context actual harvesting food first precede separate exploration period context foraging consist three distinct step exploration landscape sitegeneration selection foraging siteselection exploitation harvesting repeat trip foraging home base type foraging receive scant attention modelling literature lead main knowledge gap first little know organism implement step second know choice implementation affect outcome step typical outcome include forager rate energy return distribution forager landscape investigate gap agentbased bumble bee organism forage patchy resource landscape crop wildflower empty cell test different sitegeneration random circular foray exploration behaviour four different siteselection random optimize base distance nest local wildflower density net rate energy return variety outcome siteconstant harvesting step find siteselection high impact crop pollination service well percent crop resource collect sitegeneration high impact percent time spend harvesting total trip time find pattern identify infer give real organism identify foraging underscore importance explicitly consider exploratory behaviour well understand ecological consequence foraging dynamic,4,0,0.0,0.0,0.0,0.0,WOS:001714713100001,2026.0,0,Article,The importance of exploration: model predictions for ecosystem services   and forager fitness,10.1007/s12080-026-00635-0
complex adaptive systemsbased framework health impact climate change climate change global phenomenon farreaching consequence impact human health grow concern intricate interplay various factor make challenge accurately predict understand implication climate change human wellbeing conventional methodology limitation comprehensively address complexity nonlinearity inherent relationship climate change health outcome objective primary objective paper develop robust theoretical framework effectively analyze interpret intricate web variable fluence human health impact climate change aim overcome limitation conventional approach provide nuanced understanding complex relationship involve furthermore seek explore practical application theoretical framework enhance ability predict mitigate adapt diverse health challenge pose change climate address challenge outline objective study introduce complex adaptive system cas framework acknowledge signi ficance capture nuanced dynamic health effect link climate change utilize blend field observation expert interview key informant interview extensive literature review shape development cas framework discussion cas framework categorize finding six key subsystem ecological service extreme weather infectious disease food security disaster risk management clinical public health study employ agentbased modeling causal loop diagram cld tailor cas subsystem set identi fied variable incorporate predictive modeling enhance understanding health outcome within cas framework combination theoretical development practical application paper aspire contribute valuable insight interdisciplinary field climate change health integrate agentbased modeling cld enhance predictive capability require effective health outcome analysis context climate change paper serve valuable resource policymaker researcher public health professional employ cas framework understand assess complex network health impact associate climate change offer insight effective strategy safeguard human health amidst current future climate challenge publish masson sas open access byncnd license httpcreativecommonsorglicensesbyncnd40,5,0,0.9178849058752698,0.08211509412473024,0.0,0.0,WOS:001266865200001,2024.0,13,Article,Complex adaptive systems-based framework for modeling the health impacts   of climate change,10.1016/j.joclim.2023.100292
logistic build circular biobased modular environmental impact amsterdam circular biobased modular construction practice gain traction city seek reduce environmental impact build environment however little know strategy affect construction logistic associated emission develop agentbased assess environmental spatial impact construction logistic amsterdam metropolitan region ama six future scenario scenario vary transport mode construction practice logistic hub configuration modular construction significantly reduce emission delivery consolidation circular biobase approach present tradeoff circular logistic reduce total emission locally increase local emission congestion due frequent shortdistance trip case fossil transport biobase construction reduce transport emission low weight may increase emission distant supplier often locate abroad austria study reveal water transport lower co2 often raise nox emission case ship old engine decentralize logistic network may perform bad centralized one without coordination finding emphasize sustainability benefit depend build transport policymaker urban planner must weigh global local tradeoff design logistic system sustainable construction offer datadriven framework support decision highlight need integrate spatially ground planning approach circular transition,6,3,0.0,0.0,0.02375495256047215,0.9762450474395279,WOS:001681438000001,2025.0,0,Article,"Logistics for Building Circular, Biobased, and Modular: Environmental   Impacts in Amsterdam",10.55845/XJPF2170
multiagent reinforcement learn optimization framework ongrid electric vehicle charge base transceiver station renewable energy storage system rapid growth number develop nation mobile telecommunication sector present network operator difficulty poor service quality congestion mostly location lack dependable reasonably price electrical order provide sustainable reasonably price energy alternative develop world study provide detailed examination core idea behind renewable energy technology ret multiagentbase smallscaled smart base transceiver station bts reinforcement strategy present manage energy resource boost resilience supply power essential load peak demand period leverage demandside management dsm diverse energy combine create interconnected bts enable energy sharing balance fluctuation establish market promote economical energy matlab simulation develop assess effectiveness system real load datum fast electric vehicle charge load five different base transceiver station btss locate throughout pakistans southern area study base transceiver station bts share energy multiagentbase system observe optimization base transceiver station bts trade energy grid rate usdkwh rate usdkwh therefore grid dependency decrease carbon emission reduce optimization base transceiver station bts,7,2,0.0,0.0,1.0,0.0,WOS:001277009300001,2024.0,7,Article,Multi-Agent Reinforcement Learning Optimization Framework for On-Grid   Electric Vehicle Charging from Base Transceiver Stations Using Renewable   Energy and Storage Systems,10.3390/en17143592
circular economy mitigate rebound due investment renewable energy current macroeconomic circular economy rely unrealistic assumption recycle infinitely often ignore price demand adjustment reality virgin recycle time proliferation cheap product make recycled likely affect final demand paper address shortcoming novel climateeconomy agentbased circular economy combine climate cycle opinion dynamic consumer producer embed coevolving network preference consumer influence direction technological progress diffusion good make recycled main novelty study compare macroeconomic consequence input recycle twice infinitely find time recycle global temperature resource depletion decrease addition study transition renewable energy lead rebound effect raw manufacturing sector compare economy dependent fossil fuel whether circular economy mitigate effect depend many time input recycle,8,2,0.0,0.0,1.0,0.0,WOS:000956311300001,2023.0,23,Article,The circular economy mitigates the material rebound due to investments   in renewable energy,10.1016/j.jclepro.2023.136753
assessment methodology dynamic occupancy adaptive hvac control subway station integrate passenger flow simulation build energy modeling heating ventilation air conditioning hvac system subway station often preschedule nondiscriminatorily control large area ignore uneven dynamic thermal demand although build energy modeling bem contribute optimize hvac design operation limit investigate dynamic occupancy adaptive hvac control strategy large open subway station formalize integrated thermal control methodology itcm integrate passenger flow simulation bem assess dynamic occupancy adaptive hvac control strategy subway station evaluate applicability effectiveness itcm develop prototype coupling anylogic energyplus carry simulationbase case study hong kong subway station base case study identify itcm enable subway station development management team assess comprehensive dynamic occupancy adaptive hvac control strategy decompose thermal zone consider layout diffuser variable air volume box timely consistent manner addition case study adaptive control ceiling diffuser could save cool energy without considerably sacrifice thermal comfort,9,1,0.0,0.9789362381084744,0.021063761891525697,0.0,WOS:001094843100001,2023.0,22,Article,Assessment methodology for dynamic occupancy adaptive HVAC control in   subway stations integrating passenger flow simulation into building   energy modeling,10.1016/j.enbuild.2023.113667
